Id,Label,timeset,Degree,clustering,triangles,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,componentnumber
0,,,1,0,0,3,9,0.230437,0.234892,0,0.000277,0
1,,,70,0.013665,33,3,8,0.299437,0.309426,1273081.002488,0.016001,0
2,,,1,0,0,3,9,0.230437,0.234892,0,0.000277,0
3,,,5,0.6,6,2,9,0.256861,0.265762,904.307656,0.002528,0
4,,,8,0.535714,15,2,9,0.275531,0.286049,2732.8951,0.006376,0
5,,,62,0.111581,211,15,8,0.356124,0.378504,4856442.393101,0.122628,0
6,,,9,0.5,18,2,8,0.281974,0.293486,15102.907601,0.009511,0
7,,,14,0.494505,45,2,8,0.291823,0.305008,35013.445786,0.019305,0
8,,,1,0,0,3,9,0.230437,0.234892,0,0.000277,0
9,,,39,0.036437,27,3,8,0.330891,0.349345,4628311.405678,0.048352,0
10,,,4,1,6,3,8,0.235013,0.239808,0,0.000691,0
11,,,5,0.8,8,3,8,0.265591,0.274708,2695.593244,0.003417,0
12,,,5,0.8,8,3,8,0.265591,0.274708,2695.593244,0.003417,0
13,,,15,0.285714,30,3,7,0.285718,0.297672,22765.811157,0.013483,0
14,,,1,0,0,3,9,0.230437,0.234892,0,0.000277,0
15,,,6,0.333333,5,9,8,0.270719,0.281315,12639.570278,0.006188,0
16,,,5,0.3,3,9,8,0.270517,0.281465,6123.00216,0.006227,0
17,,,1,0,0,3,9,0.230437,0.234892,0,0.000277,0
18,,,5,0.1,1,3,8,0.277362,0.288479,28506.592653,0.008286,0
19,,,3,0,0,3,9,0.23142,0.235973,1527.445596,0.000529,0
20,,,1,0,0,3,9,0.230437,0.234892,0,0.000277,0
21,,,4,0.5,3,9,8,0.26805,0.277726,1360.0417,0.003705,0
22,,,1,0,0,3,9,0.230437,0.234892,0,0.000277,0
23,,,1,0,0,3,9,0.230437,0.234892,0,0.000277,0
24,,,1,0,0,3,9,0.230437,0.234892,0,0.000277,0
